, ,Area,Mean,Min,Max,Skew,IC,KT,image,Perim.,BX,BY,Width,Height,IntDen,RawIntDen,location,Radius
142,143,0.033,185.556,158,237,0.993,0,0,3,,,,,,,,nonIC,0.102
143,144,0.043,129.5,108,163,0.581,0,0,3,,,,,,,,nonIC,0.117
144,145,0.022,86.5,73,109,0.619,0,0,3,,,,,,,,nonIC,0.084
145,1,0.029,112.0,84,152,0.412,0,0,4,0.545,15.753,48.522,0.18,0.18,3.239,896.0,nonIC,0.096
146,2,0.014,139.0,118,163,0.068,0,0,4,0.46,15.332,48.522,0.18,0.12,2.01,556.0,nonIC,0.067
147,3,0.025,145.429,128,166,0.044,1,0,4,0.545,16.835,47.981,0.241,0.12,3.68,1018.0,IC,0.089
148,4,0.054,175.533,142,244,0.881,1,0,4,1.211,18.338,50.025,0.481,0.241,9.519,2633.0,IC,0.131
149,5,0.022,126.667,103,151,-0.095,0,0,4,0.545,19.18,49.424,0.241,0.12,2.748,760.0,nonIC,0.084
150,6,0.033,103.556,91,127,1.207,0,0,4,0.63,21.465,53.212,0.18,0.241,3.369,932.0,nonIC,0.102
151,7,0.04,82.091,60,118,0.479,0,0,4,0.715,22.247,52.19,0.241,0.241,3.264,903.0,nonIC,0.113
152,8,0.058,89.125,68,119,0.247,0,0,4,0.921,22.307,51.709,0.241,0.301,5.155,1426.0,nonIC,0.136
153,9,0.022,243.667,210,289,0.371,1,0,4,0.63,21.826,52.55,0.241,0.12,5.285,1462.0,IC,0.084
154,10,0.025,269.0,232,310,-0.088,1,0,4,0.63,26.696,56.458,0.241,0.18,6.807,1883.0,IC,0.089
155,11,0.047,132.923,103,177,0.524,0,0,4,1.311,26.516,56.158,0.421,0.301,6.247,1728.0,nonIC,0.122
156,12,0.043,122.0,96,152,-0.026,0,0,4,0.751,26.816,56.819,0.301,0.18,5.293,1464.0,nonIC,0.117
157,13,0.043,130.333,100,178,0.75,0,0,4,0.886,26.816,57.24,0.301,0.241,5.654,1564.0,nonIC,0.117
158,14,0.033,135.222,103,189,0.849,0,0,4,0.595,26.576,57.962,0.241,0.18,4.4,1217.0,nonIC,0.102
159,15,0.018,169.8,138,222,0.849,0,0,4,0.51,24.592,57.962,0.18,0.18,3.069,849.0,nonIC,0.076
160,16,0.04,118.636,95,159,0.723,0,0,4,0.801,25.133,58.262,0.241,0.301,4.718,1305.0,nonIC,0.113
161,17,0.069,99.526,69,163,0.925,1,0,4,1.141,30.965,60.126,0.421,0.301,6.836,1891.0,IC,0.148
162,18,0.155,146.372,98,229,0.695,1,0,4,1.812,39.683,58.202,0.782,0.301,22.754,6294.0,IC,0.222
163,19,0.033,143.778,112,180,0.041,0,0,4,0.801,39.022,58.082,0.301,0.18,4.678,1294.0,nonIC,0.102
164,20,0.094,163.192,122,225,0.49,1,0,4,1.367,40.224,54.534,0.241,0.541,15.339,4243.0,IC,0.173
165,21,0.155,140.767,66,368,1.372,1,0,4,1.771,42.028,52.731,0.541,0.541,21.883,6053.0,IC,0.222
166,22,0.036,92.6,78,117,0.51,0,0,4,0.836,42.569,53.693,0.18,0.301,3.348,926.0,nonIC,0.107
167,23,0.054,78.867,57,122,0.871,0,0,4,0.886,41.908,52.31,0.301,0.301,4.277,1183.0,nonIC,0.131
168,24,0.076,143.238,104,248,1.527,1,0,4,1.416,51.228,43.231,0.481,0.361,10.874,3008.0,IC,0.156
169,25,0.105,112.759,78,173,0.522,0,0,4,1.416,51.468,42.75,0.541,0.361,11.822,3270.0,nonIC,0.183
170,26,0.101,104.679,74,160,0.726,1,0,4,1.636,53.993,45.455,0.601,0.361,10.596,2931.0,IC,0.179
171,27,0.025,89.429,75,120,1.149,0,0,4,0.51,55.015,45.035,0.18,0.18,2.263,626.0,nonIC,0.089
172,28,0.076,73.286,49,107,0.525,0,0,4,1.296,55.677,44.373,0.301,0.361,5.564,1539.0,nonIC,0.156
173,29,0.065,78.222,65,104,0.804,0,0,4,1.331,53.152,45.876,0.481,0.301,5.09,1408.0,nonIC,0.144
174,30,0.018,96.2,81,117,0.44,0,0,4,0.425,52.911,46.297,0.18,0.12,1.739,481.0,nonIC,0.076
175,31,0.025,138.0,110,163,-0.202,1,0,4,0.751,47.62,42.81,0.18,0.18,3.492,966.0,IC,0.089
176,32,0.014,182.0,155,205,-0.207,0,0,4,0.34,47.199,42.509,0.12,0.12,2.632,728.0,nonIC,0.067
177,33,0.076,99.524,70,165,1.157,0,0,4,1.211,47.74,42.99,0.301,0.481,7.556,2090.0,nonIC,0.156
178,34,0.054,134.6,94,185,0.283,1,0,4,0.921,20.864,46.538,0.361,0.241,7.299,2019.0,IC,0.131
179,35,0.047,81.538,65,105,0.339,0,0,4,1.006,20.263,46.057,0.301,0.301,3.832,1060.0,nonIC,0.122
180,36,0.065,131.222,96,195,0.641,1,0,4,1.126,30.604,45.395,0.361,0.301,8.539,2362.0,IC,0.144
181,37,0.061,77.471,56,107,0.345,0,0,4,1.02,30.724,44.914,0.361,0.301,4.761,1317.0,nonIC,0.139
182,38,0.043,102.667,83,141,0.973,0,0,4,0.715,30.664,45.756,0.241,0.241,4.454,1232.0,nonIC,0.117
183,39,0.036,97.8,78,138,0.788,0,0,4,0.63,30.604,46.297,0.18,0.241,3.536,978.0,nonIC,0.107
184,40,0.04,97.273,76,118,-0.301,0,0,4,0.836,29.402,48.341,0.361,0.18,3.868,1070.0,nonIC,0.113
185,41,0.022,114.5,102,138,0.689,0,0,4,0.545,30.664,47.981,0.241,0.12,2.484,687.0,nonIC,0.084
186,42,0.036,132.5,105,169,0.133,1,0,4,0.715,34.753,37.098,0.301,0.18,4.79,1325.0,IC,0.107
187,43,0.116,105.781,81,173,1.067,1,0,4,1.806,43.471,44.313,0.601,0.421,12.237,3385.0,IC,0.192
188,44,0.054,147.8,129,171,0.417,1,0,4,1.026,44.072,56.94,0.481,0.12,8.015,2217.0,IC,0.131
189,45,0.065,86.167,65,116,0.294,0,0,4,1.111,45.395,56.699,0.481,0.18,5.607,1551.0,nonIC,0.144
190,46,0.047,105.077,80,169,1.305,0,0,4,0.921,46.478,56.458,0.361,0.241,4.938,1366.0,nonIC,0.122
191,47,0.033,153.333,127,170,-0.453,0,0,4,0.63,30.905,55.436,0.241,0.18,4.989,1380.0,nonIC,0.102
192,48,0.043,112.333,93,167,1.311,0,0,4,0.836,31.266,55.376,0.301,0.241,4.873,1348.0,nonIC,0.117
193,49,0.022,154.167,125,186,0.072,0,0,4,0.46,32.047,55.376,0.18,0.12,3.344,925.0,nonIC,0.084
194,50,0.036,150.1,100,216,0.795,0,0,4,0.63,32.709,55.376,0.241,0.18,5.426,1501.0,nonIC,0.107
195,51,0.033,108.444,94,134,0.961,0,0,4,0.666,33.069,55.436,0.241,0.18,3.528,976.0,nonIC,0.102
196,52,0.155,164.047,105,286,0.804,1,0,4,1.792,27.838,51.648,0.661,0.421,25.501,7054.0,IC,0.222
197,1,0.076,116.857,88,165,0.473,0,0,6,1.006,43.414,36.679,0.301,0.361,8.873,2454.0,nonIC,0.156
198,2,0.022,153.333,126,181,-0.085,0,0,6,0.46,43.173,36.8,0.12,0.18,3.326,920.0,nonIC,0.084
199,3,0.054,165.6,118,229,0.357,1,0,6,0.886,42.512,36.739,0.301,0.301,8.981,2484.0,IC,0.131
200,4,0.047,123.0,99,157,0.257,0,0,6,0.751,41.971,36.92,0.301,0.18,5.781,1599.0,nonIC,0.122
201,5,0.043,107.0,90,130,0.119,0,0,6,0.751,41.67,36.739,0.241,0.241,4.642,1284.0,nonIC,0.117
202,6,0.025,128.857,108,157,0.452,0,0,6,0.581,44.376,32.29,0.241,0.12,3.261,902.0,nonIC,0.089
203,7,0.065,113.889,100,142,0.843,0,0,6,1.431,44.737,31.869,0.241,0.541,7.412,2050.0,nonIC,0.144
204,8,0.051,121.429,103,144,0.397,0,1,6,0.801,43.835,32.771,0.301,0.241,6.147,1700.0,KT,0.127
205,9,0.083,120.261,107,145,0.981,0,1,6,1.246,44.316,33.011,0.421,0.301,10.001,2766.0,KT,0.163
206,10,0.105,119.172,91,155,0.242,0,0,6,1.296,49.427,34.996,0.361,0.421,12.496,3456.0,nonIC,0.183
207,11,0.087,95.833,69,129,0.117,0,1,6,1.176,49.968,34.334,0.481,0.301,8.316,2300.0,KT,0.166
208,12,0.119,75.667,57,115,0.839,0,1,6,1.551,49.126,34.034,0.421,0.481,9.028,2497.0,KT,0.195
209,13,0.051,87.857,69,117,0.428,0,0,6,0.801,49.908,33.733,0.301,0.241,4.447,1230.0,nonIC,0.127
210,14,0.087,109.583,88,146,0.588,0,0,6,1.331,50.148,32.951,0.301,0.481,9.509,2630.0,nonIC,0.166
211,15,0.083,111.696,68,182,0.653,0,0,6,1.091,15.393,45.278,0.361,0.361,9.289,2569.0,nonIC,0.163
212,16,0.076,113.81,87,157,0.554,0,0,6,1.246,15.634,45.579,0.421,0.361,8.641,2390.0,nonIC,0.156
213,17,0.043,131.75,114,160,0.542,0,0,6,0.716,15.754,46.12,0.241,0.241,5.716,1581.0,nonIC,0.117
