rand_ID,cpc,cohesin,e,time,chr_length,distances
15,0.173,0.09,0.0089,0.012875,3.667930,[0.592584186367106 0.890829437829126 1.12800331252216 0.696694822223401 0.535241160912862 0.509131646873777 0.480119305563893 0.728754014422128] 
15,0.173,0.09,0.0089,0.003743,2.224810,[0.554674252906168 0.336155184922958 0.506220503289352 0.621782809232811 0.563023480963525 0.133671341259876 0.535241160912862 0.509131646873777 0.480119305563893] 
15,0.173,0.09,0.0089,0.000732,2.765980,[] 
5,0.173,0.09,0.0089,0.008705,2.705850,[0.906737859957497 0.563198733264201 0.430043257323444 0.66934306793428 0.636764654246549 1.04851324951872 0.423272681034925 0.383784913716551] 
5,0.173,0.09,0.0089,0.009525,1.262730,[0.430043257323444 0.66934306793428 0.636764654246549] 
5,0.173,0.09,0.0089,0.019608,4.389490,[1.31817463924605 1.66258505852193] 
5,0.173,0.09,0.0089,0.028703,1.623510,[] 
5,0.173,0.09,0.0089,0.028065,2.465330,[] 
5,0.173,0.09,0.0089,0.013733,2.645720,[1.66258505852193 0.636764654246549 1.04851324951872 0.807057594751476] 
5,0.173,0.09,0.0089,0.007211,2.826110,[0.385902604778738 0.520835255178758 0.563198733264201 0.430043257323444 0.66934306793428 0.636764654246549 0.720061331047649 0.328451918471075 0.423272681034925 0.383784913716551] 
5,0.173,0.09,0.0089,0.022908,3.186890,[1.31817463924605 1.66258505852193] 
5,0.173,0.09,0.0089,0.022771,3.667930,[1.31817463924605 1.66258505852193] 
5,0.173,0.09,0.0089,0.022209,2.224810,1.66258505852193 
5,0.173,0.09,0.0089,0.022299,2.765980,1.66258505852193 
12,0.1,0.09,0.0089,0.003177,2.705850,[0.533134548723102 0.56521247776401 0.640424085650262 0.616005136550556 0.625338386443725 0.393988044622433 0.420523703825029 0.395341431273276 0.481433715861321 0.331377927903652] 
12,0.1,0.09,0.0089,0.020445,1.262730,[1.25642922220082 1.01932643106616] 
12,0.1,0.09,0.0089,0.013896,4.389490,[0.217767482385488 1.04416450526114 0.56521247776401 0.640424085650262 0.616005136550556 1.01932643106616 0.815865135098305 1.15709175267389] 
12,0.1,0.09,0.0089,0.006363,1.623510,[0.640424085650262 0.616005136550556 0.625338386443725 0.393988044622433] 
12,0.1,0.09,0.0089,0.002954,2.465330,[0.533134548723102 0.56521247776401 0.640424085650262 0.616005136550556 0.625338386443725 0.393988044622433 0.815865135098305 0.481433715861321] 
12,0.1,0.09,0.0089,0.024701,2.645720,[1.01932643106616 0.815865135098305] 
12,0.1,0.09,0.0089,0.005247,2.826110,[0.533134548723102 0.56521247776401 0.640424085650262 0.616005136550556 0.625338386443725 0.393988044622433 0.420523703825029 0.395341431273276 0.481433715861321] 
12,0.1,0.09,0.0089,0.004904,3.186890,[0.217767482385488 0.511029956538042 0.533134548723102 0.56521247776401 0.640424085650262 0.616005136550556 0.625338386443725 0.393988044622433 0.815865135098305 0.481433715861321 0.675658036812568] 
12,0.1,0.09,0.0089,0.019971,3.667930,[0.56521247776401 1.25642922220082 1.01932643106616 0.815865135098305] 
12,0.1,0.09,0.0089,0.026819,2.224810,1.83519156616446 
12,0.1,0.09,0.0089,0.015488,2.765980,[0.56521247776401 0.640424085650262 0.616005136550556 1.01932643106616 0.815865135098305] 
2,0.1,0.09,0.0089,0.021080,2.705850,[1.10966334953056 0.953412895291648 0.840130797913756] 
2,0.1,0.09,0.0089,0.004607,1.262730,[0.199366946025259 0.340798662387904 0.413247286878486 0.469559093956855 0.370571703956902] 
2,0.1,0.09,0.0089,0.028601,4.389490,2.06307624482221 
2,0.1,0.09,0.0089,0.016223,1.623510,[0.953412895291648 0.840130797913756] 
2,0.1,0.09,0.0089,0.020387,2.465330,[1.10966334953056 0.953412895291648 0.840130797913756] 
2,0.1,0.09,0.0089,0.001096,2.645720,[] 
2,0.1,0.09,0.0089,0.024268,2.826110,2.06307624482221 
2,0.1,0.09,0.0089,0.022450,3.186890,2.06307624482221 
2,0.1,0.09,0.0089,0.003604,3.667930,[0.309594984411762 0.602367472101421 0.492141115799838 0.617522233730722 0.199366946025259 0.340798662387904 0.413247286878486 0.469559093956855 0.370571703956902 0.449878493881107 0.534061648241139 0.426934336549747 0.387479924003674 0.376017601347768] 
2,0.1,0.09,0.0089,0.015744,2.224810,[1.10966334953056 0.953412895291648 0.840130797913756] 
2,0.1,0.09,0.0089,0.009769,2.765980,[0.602367472101421 0.492141115799838 0.617522233730722 0.953412895291648 0.840130797913756 0.983940142122246 0.814414260553421] 
16,0.22,0.09,0.0089,0.016393,2.705850,[0.61114180268328 0.884165928500796 1.08222977965797 1.17303157549879 0.621707532050186 0.739090678392108] 
16,0.22,0.09,0.0089,0.011964,1.262730,[1.08222977965797 1.17303157549879] 
16,0.22,0.09,0.0089,0.012451,4.389490,[0.422264818890243 0.61114180268328 0.884165928500796 1.08222977965797 1.17303157549879 0.621707532050186 0.739090678392108] 
16,0.22,0.09,0.0089,0.005420,1.623510,[0.495358863601753 0.507872275395565 0.574357504262403 1.17303157549879] 
16,0.22,0.09,0.0089,0.007660,2.465330,[0.884165928500796 1.08222977965797 1.17303157549879 0.621707532050186] 
16,0.22,0.09,0.0089,0.000615,2.645720,[] 
16,0.22,0.09,0.0089,0.027701,2.826110,[] 
16,0.22,0.09,0.0089,0.019603,3.186890,[1.03340662157352 0.884165928500796 1.08222977965797 1.17303157549879] 
16,0.22,0.09,0.0089,0.027966,3.667930,[] 
16,0.22,0.09,0.0089,0.004903,2.224810,[0.388807064899043 0.495358863601753 0.137560097446776 0.370312177948789 0.574357504262403 1.17303157549879 0.621707532050186] 
16,0.22,0.09,0.0089,0.027618,2.765980,[] 
6,0.22,0.09,0.0089,0.023839,2.705850,[2.51455418123131 2.67705360294577] 
6,0.22,0.09,0.0089,0.017320,1.262730,[] 
6,0.22,0.09,0.0089,0.013199,4.389490,[2.51455418123131 1.06469249739044 0.406524448127512 1.20583665742782] 
6,0.22,0.09,0.0089,0.007727,1.623510,[0.6672066508081 0.655993676214931 1.06469249739044 0.406524448127512] 
6,0.22,0.09,0.0089,0.022554,2.465330,[] 
6,0.22,0.09,0.0089,0.006857,2.645720,[0.7479766241394 0.443377230068882 0.6672066508081 0.655993676214931 0.660517339037682 0.404175158352754 0.406524448127512 0.760985274247454] 
6,0.22,0.09,0.0089,0.001924,2.826110,[1.78084856552302 1.07401834890408 0.800549621089044 0.646115419539955 0.156370213412692] 
6,0.22,0.09,0.0089,0.023012,3.186890,[2.51455418123131 2.67705360294577] 
6,0.22,0.09,0.0089,0.020128,3.667930,[2.51455418123131 2.67705360294577] 
6,0.22,0.09,0.0089,0.021446,2.224810,[] 
6,0.22,0.09,0.0089,0.019252,2.765980,[2.51455418123131 2.67705360294577] 
17,0.25,0.09,0.0089,0.012570,2.705850,[1.43427545953224 0.748810326739356 1.02401385770298 0.726234563862333] 
17,0.25,0.09,0.0089,0.011722,1.262730,[0.748810326739356 1.02401385770298] 
17,0.25,0.09,0.0089,0.024481,4.389490,2.75570793681282 
17,0.25,0.09,0.0089,0.009520,1.623510,[0.853778378205282 0.748810326739356 1.02401385770298 0.34548530376488] 
17,0.25,0.09,0.0089,0.024431,2.465330,[] 
17,0.25,0.09,0.0089,0.023666,2.645720,[] 
17,0.25,0.09,0.0089,0.025560,2.826110,2.75570793681282 
17,0.25,0.09,0.0089,0.015163,3.186890,[0.572622150541222 2.18308578627159 1.02401385770298 0.726234563862333] 
17,0.25,0.09,0.0089,0.019061,3.667930,[0.572622150541222 2.18308578627159] 
17,0.25,0.09,0.0089,0.028513,2.224810,[] 
17,0.25,0.09,0.0089,0.013312,2.765980,[0.572622150541222 1.43427545953224 0.748810326739356 1.02401385770298 0.726234563862333] 
7,0.25,0.09,0.0089,0.001801,2.705850,[1.40309763694442 1.79601764682524] 
7,0.25,0.09,0.0089,0.026001,1.262730,[] 
7,0.25,0.09,0.0089,0.018933,4.389490,[1.7609861369679 0.555320801053978] 
7,0.25,0.09,0.0089,0.010651,1.623510,[1.11238634312916 0.689107466473132] 
7,0.25,0.09,0.0089,0.029904,2.465330,[] 
7,0.25,0.09,0.0089,0.006723,2.645720,[0.469573488335082 0.461543733016762 0.543277965060824 0.452637489324838 0.659748853804323 0.689107466473132 0.265147543417351 0.314606298120183 0.492124828957237 0.555320801053978] 
7,0.25,0.09,0.0089,0.019566,2.826110,[1.7609861369679 0.555320801053978] 
7,0.25,0.09,0.0089,0.018143,3.186890,[1.7609861369679 0.555320801053978] 
7,0.25,0.09,0.0089,0.011612,3.667930,[0.845132983827903 0.461543733016762 0.543277965060824 1.11238634312916 0.689107466473132 1.07187867049477 0.555320801053978 0.591220174297097] 
7,0.25,0.09,0.0089,0.004263,2.224810,[0.461543733016762 0.543277965060824 0.452637489324838 0.659748853804323 0.689107466473132 0.265147543417351 0.314606298120183 0.492124828957237] 
7,0.25,0.09,0.0089,0.000752,2.765980,[] 
10,0.2,0.09,0.0089,0.012633,2.705850,[0.441180331472939 0.914167182221976 1.04645511085398 1.03910538514866 0.887578230488195] 
10,0.2,0.09,0.0089,0.005522,1.262730,[0.459102278894707 0.587352831959275 0.617797010963615 0.421308374185048] 
10,0.2,0.09,0.0089,0.021771,4.389490,[] 
10,0.2,0.09,0.0089,0.011108,1.623510,[1.04645511085398 1.03910538514866 0.442327125526937] 
10,0.2,0.09,0.0089,0.025241,2.465330,[] 
10,0.2,0.09,0.0089,0.022021,2.645720,[] 
10,0.2,0.09,0.0089,0.017125,2.826110,[1.04645511085398 1.03910538514866 0.887578230488195] 
